At time 650, Job213 arrives.
At time 652, Job203 arrives.
At time 653, Job2 finishes at CPU.
At time 654, Job217 arrives.
At time 657, Job221 arrives.
At time 658, Job208 arrives.
At time 658, Job211 arrives.
At time 659, Job209 arrives.
At time 659, Job210 arrives.
At time 661, Job216 arrives.
At time 664, Job226 arrives.
At time 665, Job215 arrives.
At time 669, Job214 arrives.
At time 669, Job19 arrives.
At time 669, Job220 arrives.
At time 671, Job229 arrives.
At time 674, Job30 finishes at CPU.
At time 675, Job222 arrives.
At time 677, Job2 arrives at Disk.
At time 678, Job218 arrives.
At time 680, Job219 arrives.
At time 682, Job227 arrives.
At time 683, Job231 arrives.
At time 684, Job230 arrives.
At time 685, Job235 arrives.
At time 685, Job237 arrives.
At time 686, Job224 arrives.
At time 688, Job28 finishes at CPU.
At time 689, Job228 arrives.
At time 690, Job223 arrives.
At time 690, Job225 arrives.
At time 691, Job234 arrives.
At time 694, Job241 arrives.
At time 694, Job242 arrives.
At time 695, Job232 arrives.
At time 696, Job233 arrives.
At time 701, Job21 finished I/O at Disk 2.
At time 702, Job238 arrives.
At time 702, Job239 arrives.
At time 704, Job30 arrives at Disk.
At time 705, Job253 arrives.
At time 706, Job236 arrives.
At time 706, Job31 finishes at CPU.
At time 706, Job31 exits.
At time 706, Job255 arrives.
At time 709, Job240 arrives.
At time 713, Job243 arrives.
At time 716, Job250 arrives.
At time 716, Job34 finishes at CPU.
At time 717, Job244 arrives.
At time 717, Job22 finished I/O at Disk 2.
At time 718, Job249 arrives.
At time 721, Job245 arrives.
At time 722, Job247 arrives.
At time 722, Job256 arrives.
At time 723, Job258 arrives.
At time 724, Job246 arrives.
At time 724, Job28 arrives at Disk.
At time 724, Job248 arrives.
At time 725, Job257 arrives.
At time 728, Job254 arrives.
At time 728, Job259 arrives.
At time 729, Job32 finishes at CPU.
At time 730, Job251 arrives.
At time 730, Job252 arrives.
At time 732, Job260 arrives.
At time 732, Job264 arrives.
At time 732, Job22 arrives.
At time 733, Job262 arrives.
At time 736, Job21 arrives.
At time 736, Job261 arrives.
At time 736, Job265 arrives.
At time 737, Job268 arrives.
At time 739, Job267 arrives.
At time 739, Job6 finished I/O at Disk 2.
At time 740, Job274 arrives.
At time 741, Job271 arrives.
At time 742, Job279 arrives.
At time 743, Job34 arrives at Disk.
At time 743, Job33 finishes at CPU.
At time 744, Job263 arrives.
At time 750, Job281 arrives.
At time 751, Job280 arrives.
At time 752, Job285 arrives.
At time 753, Job282 arrives.
At time 755, Job269 arrives.
At time 758, Job276 arrives.
At time 759, Job278 arrives.
At time 759, Job286 arrives.
At time 760, Job266 arrives.
At time 760, Job283 arrives.
At time 760, Job35 finishes at CPU.
At time 761, Job272 arrives.
At time 761, Job273 arrives.
At time 761, Job289 arrives.
At time 762, Job275 arrives.
At time 764, Job270 arrives.
At time 764, Job33 arrives at Disk.
At time 765, Job27 finished I/O at Disk 2.
At time 768, Job32 arrives at Disk.
At time 768, Job277 arrives.
At time 768, Job284 arrives.
At time 768, Job291 arrives.
At time 773, Job6 arrives.
At time 774, Job293 arrives.
At time 775, Job301 arrives.
At time 778, Job298 arrives.
At time 779, Job287 arrives.
At time 780, Job288 arrives.
At time 780, Job292 arrives.
At time 780, Job297 arrives.
At time 780, Job37 finishes at CPU.
At time 780, Job307 arrives.
At time 781, Job290 arrives.
At time 782, Job296 arrives.
At time 782, Job303 arrives.
At time 783, Job295 arrives.
At time 784, Job294 arrives.
At time 785, Job299 arrives.
At time 787, Job27 arrives.
At time 789, Job300 arrives.
At time 789, Job29 finished I/O at Disk 2.
At time 789, Job306 arrives.
At time 791, Job35 arrives at Disk.
At time 793, Job313 arrives.
At time 793, Job314 arrives.
At time 795, Job304 arrives.
At time 796, Job302 arrives.
At time 797, Job317 arrives.
At time 797, Job321 arrives.
At time 798, Job308 arrives.
At time 799, Job305 arrives.
At time 799, Job38 finishes at CPU.
At time 799, Job323 arrives.
At time 800, Job29 arrives.
At time 801, Job310 arrives.
At time 801, Job315 arrives.
At time 801, Job324 arrives.
At time 804, Job309 arrives.
At time 805, Job320 arrives.
At time 806, Job318 arrives.
At time 806, Job2 finished I/O at Disk 2.
At time 807, Job311 arrives.
At time 808, Job331 arrives.
At time 809, Job319 arrives.
At time 809, Job330 arrives.
At time 809, Job39 finishes at CPU.
At time 814, Job326 arrives.
At time 814, Job332 arrives.
At time 815, Job312 arrives.
At time 817, Job334 arrives.
At time 817, Job2 arrives.
At time 818, Job38 arrives at Disk.
At time 818, Job336 arrives.
At time 819, Job316 arrives.
At time 820, Job37 arrives at Disk.
At time 821, Job325 arrives.
At time 824, Job344 arrives.
At time 825, Job322 arrives.
At time 825, Job329 arrives.
At time 825, Job340 arrives.
At time 826, Job328 arrives.
At time 827, Job39 arrives at Disk.
At time 828, Job335 arrives.
At time 830, Job341 arrives.
At time 831, Job338 arrives.
At time 831, Job348 arrives.
At time 831, Job349 arrives.
At time 832, Job327 arrives.
At time 832, Job333 arrives.
At time 833, Job342 arrives.
At time 833, Job41 finishes at CPU.
At time 836, Job343 arrives.
At time 837, Job337 arrives.
At time 838, Job339 arrives.
At time 838, Job352 arrives.
At time 840, Job351 arrives.
At time 840, Job359 arrives.
At time 841, Job345 arrives.
At time 844, Job358 arrives.
At time 845, Job361 arrives.
At time 845, Job41 arrives at Disk.
At time 846, Job346 arrives.
At time 848, Job30 finished I/O at Disk 2.
At time 851, Job347 arrives.
At time 851, Job356 arrives.
At time 851, Job371 arrives.
At time 852, Job365 arrives.
At time 853, Job357 arrives.
At time 853, Job36 finishes at CPU.
At time 854, Job363 arrives.
At time 854, Job367 arrives.
At time 854, Job374 arrives.
At time 855, Job354 arrives.
At time 855, Job370 arrives.
At time 857, Job350 arrives.
At time 857, Job360 arrives.
At time 859, Job353 arrives.
At time 863, Job366 arrives.
At time 863, Job381 arrives.
At time 864, Job383 arrives.
At time 865, Job355 arrives.
At time 865, Job369 arrives.
At time 866, Job372 arrives.
At time 866, Job36 arrives at Disk.
At time 867, Job380 arrives.
At time 867, Job42 finishes at CPU.
At time 867, Job42 exits.
At time 867, Job388 arrives.
At time 868, Job362 arrives.
At time 868, Job30 arrives.
At time 869, Job378 arrives.
At time 870, Job364 arrives.
At time 872, Job373 arrives.
At time 873, Job368 arrives.
At time 874, Job392 arrives.
At time 875, Job384 arrives.
At time 875, Job394 arrives.
At time 876, Job375 arrives.
At time 877, Job382 arrives.
At time 877, Job389 arrives.
At time 878, Job385 arrives.
At time 878, Job398 arrives.
At time 881, Job397 arrives.
At time 881, Job399 arrives.
At time 884, Job376 arrives.
At time 884, Job386 arrives.
At time 884, Job387 arrives.
At time 885, Job390 arrives.
At time 886, Job377 arrives.
At time 886, Job393 arrives.
At time 887, Job40 finishes at CPU.
At time 887, Job40 exits.
At time 889, Job405 arrives.
At time 891, Job379 arrives.
At time 892, Job396 arrives.
At time 894, Job400 arrives.
At time 894, Job403 arrives.
At time 896, Job395 arrives.
At time 896, Job417 arrives.
At time 897, Job401 arrives.
At time 901, Job391 arrives.
At time 902, Job409 arrives.
At time 905, Job7 finishes at CPU.
At time 906, Job404 arrives.
At time 906, Job406 arrives.
At time 906, Job413 arrives.
At time 909, Job407 arrives.
At time 910, Job410 arrives.
At time 910, Job418 arrives.
At time 910, Job421 arrives.
At time 911, Job402 arrives.
At time 911, Job412 arrives.
At time 911, Job415 arrives.
At time 912, Job411 arrives.
At time 913, Job420 arrives.
At time 913, Job422 arrives.
At time 915, Job423 arrives.
At time 915, Job427 arrives.
At time 916, Job432 arrives.
At time 917, Job408 arrives.
At time 918, Job416 arrives.
At time 918, Job431 arrives.
At time 919, Job414 arrives.
At time 920, Job45 finishes at CPU.
At time 920, Job45 exits.
At time 925, Job419 arrives.
At time 927, Job424 arrives.
At time 927, Job426 arrives.
At time 929, Job425 arrives.
At time 929, Job436 arrives.
At time 929, Job443 arrives.
At time 930, Job437 arrives.
At time 931, Job448 arrives.
At time 933, Job429 arrives.
At time 933, Job439 arrives.
At time 935, Job7 arrives at Disk.
At time 935, Job47 finishes at CPU.
At time 936, Job450 arrives.
At time 937, Job433 arrives.
At time 937, Job438 arrives.
At time 940, Job434 arrives.
At time 940, Job440 arrives.
At time 940, Job447 arrives.
At time 941, Job428 arrives.
At time 941, Job444 arrives.
At time 941, Job456 arrives.
At time 945, Job430 arrives.
At time 947, Job449 arrives.
At time 948, Job441 arrives.
At time 948, Job460 arrives.
At time 949, Job435 arrives.
At time 949, Job442 arrives.
At time 949, Job446 arrives.
At time 951, Job454 arrives.
At time 952, Job466 arrives.
At time 953, Job451 arrives.
At time 955, Job44 finishes at CPU.
At time 956, Job445 arrives.
At time 958, Job462 arrives.
At time 962, Job47 arrives at Disk.
At time 963, Job477 arrives.
At time 964, Job457 arrives.
At time 964, Job461 arrives.
At time 964, Job463 arrives.
At time 965, Job468 arrives.
At time 967, Job452 arrives.
At time 967, Job453 arrives.
At time 967, Job455 arrives.
At time 967, Job458 arrives.
At time 967, Job474 arrives.
At time 970, Job459 arrives.
At time 972, Job43 finishes at CPU.
At time 973, Job465 arrives.
At time 973, Job467 arrives.
At time 973, Job470 arrives.
At time 973, Job44 arrives at Disk.
At time 975, Job479 arrives.
At time 976, Job464 arrives.
At time 976, Job478 arrives.
At time 978, Job475 arrives.
At time 978, Job28 finished I/O at Disk 2.
